OBJECTID,RSPB_Reference,County,Incident_Type,Month,Year,Grid_Square,Details,More_Info_Here,Country,GlobalID,SHAPE_Length,SHAPE_Area
7133,98767,VALE OF GLAMORGAN,Shooting,December,2016,ST06,Species involved: Buzzard x 1.,No Link,WALES,{9B167805-9E38-413A-91BB-791BA8882904},64050.9796121458,256407435.862435
7134,88933,COUNTY DURHAM,Poisoning,January,2007,NY94,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,No Link,ENGLAND,{F31E1419-C86A-4AF5-85C4-80703DF54CC3},69340.0434938003,300502042.536133
7135,88779,BEDFORDSHIRE,Shooting,October,2007,TL53,Species involved: Marsh harrier x 1.,No Link,ENGLAND,{9C5A2038-7F2B-48E8-9D1B-B74F5DD4347F},64911.5586439234,263343841.287512
7136,96412,GREATER MANCHESTER,Shooting,August,2013,SJ69,Species involved: Peregrine falcon x 1.,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/police-appeal-after-protected-peregrine-5710893,ENGLAND,{1D7D56B0-A54F-4728-B43C-1F4ABC259E0F},67127.3750578129,281629723.083996
7137,88572,NORTH YORKSHIRE,Poisoning,April,2007,SD98,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,No Link,ENGLAND,{2EAD6E40-F3D4-4CF4-9015-7A80473321F7},68434.2654961805,292702485.617243
7138,94566,ANGUS,Illegal Trapping (Other),March,2011,NO45,Species involved: Buzzard x 3.,No Link,SCOTLAND,{6308969C-3B12-435B-A21E-C14D5644EB19},72752.4759112388,330807097.622954
7139,90012,POWYS,Poisoning,September,2007,SO08,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,No Link,WALES,{A87603B9-43C6-4F69-A566-38A315551004},65600.256448375,268961543.787622
7140,101400,STAFFORDSHIRE,Poisoning,May,2020,SK06,Species involved: Peregrine falcon x 1. Buzzard x 1. Poison bait (pigeon) x 1. Tested positive for: Bendiocarb.,https://community.rspb.org.uk/ourwork/b/investigations/posts/peak-district-national-park-peregrines-poisoned-staffordshire,ENGLAND,{476F7C9A-B6DB-4C5D-A14C-8BC8382E1876},66709.4016508417,278133459.655227
7141,88794,GLOUCESTERSHIRE,Shooting,October,2007,SO73,Species involved: Buzzard x 1.,No Link,ENGLAND,{C72758FE-7AD2-44D5-BF9D-1560C797C143},64960.5485385375,263741494.093177
7142,93781,NORTHUMBERLAND,Shooting,March,2009,NZ17,Species involved: Sparrowhawk x 1.,No Link,ENGLAND,{A505BA20-CA60-4750-8A44-679F69A1090E},69803.8346881848,304535397.889856
7143,92969,SOUTH YORKSHIRE,Poisoning,September,2009,SK29,Species targeted: Birds of prey. Species involved: Dog x 3. Tested positive for: Strychnine.,No Link,ENGLAND,{82E6E2C4-6B38-4176-8826-01087BB528C9},67128.796645329,281641651.682776
7144,99670,CONWY,Poisoning,October,2017,SH87,"Species involved: Peregrine falcon x 1; poison bait (pigeon) x 1. Tested positive for: Bendiocarb.",https://raptorpersecutionscotland.wordpress.com/2018/03/21/peregrine-confirmed-poisoned-in-north-wales/,WALES,{E3223F16-9DA8-4742-9059-B5F5F35C3DE8},66818.663104789,279045300.783658
7145,100708,SCOTTISH BORDERS,Shooting,May,2017,NT75,Species involved: Goshawk x 1.,No Link,SCOTLAND,{4D713342-1575-44DC-A20E-D16EDF54F181},71079.6427004586,315769160.073289
7146,98111,SOUTH LANARKSHIRE,Illegal Pole/Spring Trapping,September,2015,NS84,Species targeted: Birds of prey.,No Link,SCOTLAND,{A19D97AD-F11A-41A3-85A4-3AAE13CC8343},70882.4101600648,314019188.960238
7147,93614,ARGYLL AND BUTE,Shooting,October,2010,NM71,Species involved: Buzzard x 1.,No Link,SCOTLAND,{908E92F6-9C09-4BBE-A631-8F222FA4E252},71932.8426615155,323395292.622793
7148,96873,NORFOLK,Shooting,January,2014,TF62,Species involved: Buzzard x 1.,No Link,ENGLAND,{F3DF3C6B-FB7A-4C2F-9744-4F7F787A3C4F},66098.6179185444,273063646.261838
7149,88917,SHROPSHIRE,Shooting,May,2007,SO38,Species involved: Peregrine falcon x 1.,No Link,ENGLAND,{03352E62-F12E-4867-A6B4-5285990875C1},65610.6516980438,269046792.232735
7150,100506,SOUTH LANARKSHIRE,PersecutionOther,May,2019,NS81,Species targeted: Birds of prey. Possession of: Carbosulfan.,No Link,SCOTLAND,{64766701-D8A7-40CE-9FEC-B41EBFC6D198},70400.2644867051,309761763.93521
7151,102698,MERSEYSIDE,Shooting,April,2020,SJ38,Species targeted: Birds of prey.,http://avianveterinaryservices.co.uk/projectile-injuries-in-falcons/ ,ENGLAND,{F02CC6A8-2801-43F0-94B9-BD3322662587},66979.4589809574,280389938.060946
7152,101182,NORTH YORKSHIRE,Shooting,April,2020,SE27,Species involved: Buzzard x 1.,https://www.harrogate-news.co.uk/2020/05/07/appeal-for-information-after-injured-buzzard-found-near-kirkby-malzeard/ ,ENGLAND,{114B88E6-22D7-4E1D-B77C-9C94533C423E},68284.7413422453,291424811.149199
7153,94795,FIFE,Shooting,April,2011,NT08,Species targeted: Birds of prey.,No Link,SCOTLAND,{D5B5C126-0777-406E-9552-49DAE11EA38B},71549.934637744,319961503.549317
7154,101172,NORFOLK,Shooting,April,2020,TF50,Species involved: Buzzard x 1.,https://raptorpersecutionscotland.wordpress.com/2020/06/03/buzzard-found-shot-in-norfolk-during-lockdown/ ,ENGLAND,{C7604B29-FC27-414A-B361-4D7BBC54B37B},65835.4064960592,270893237.193595
7155,99928,NORTH YORKSHIRE,Shooting,May,2018,SE26,Species involved: Buzzard x 1.,No Link,ENGLAND,{2040D606-419E-4EAB-9A68-0ED6DEB3F3D3},68137.481507743,290169216.689021
7156,99878,BEDFORDSHIRE,Shooting,November,2017,TL11,Species involved: Red kite x 1.,https://ww2.rspb.org.uk/community/ourwork/b/investigations/archive/2018/04/04/red-kite-shot-through-the-heart-bedfordshire.aspx,ENGLAND,{7ACD0319-DDCA-4357-875B-34585D6869F7},64676.1232322711,261436995.673026
7157,93322,TORFAEN,Poisoning,July,2010,SO20,"Species involved: Peregrine falcon x 2, poison bait (pigeon) x 1. Tested positive for: Carbofuran.",No Link,WALES,{D0CC401B-76B2-4E10-A986-851AF06F9D8C},64563.6740095968,260528688.593446
7158,96457,POWYS,Shooting,May,2013,SJ10,Species involved: Buzzard x 1.,No Link,WALES,{50ED575E-1BBE-48D5-AD58-9478627362CD},65872.0396642083,271194792.08448
