incident_type,details,county,month,year
Shooting,Species involved: Peregrine falcon x 1.,LEICESTERSHIRE,May,2021
Poisoning,Species targeted: Birds of prey. Species involved: poison bait (Pheasant x 1). Tested positive for: Strychnine.,NORFOLK,September,2021
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,WREXHAM,February,2021
PersecutionOther,Species targeted: Birds of Prey.,PERTH AND KINROSS,January,2021
Illegal Trapping (Other),Species involved: Buzzard x 1.,NOTTINGHAMSHIRE,January,2021
Shooting,Species involved: Goshawk x 1.,NORFOLK,August,2021
Shooting,Species involved: Barn owl x 1.,HAMPSHIRE,March,2021
Poisoning,Species involved: Buzzard x 2. Tested positive for: Alphachloralose.,DERBYSHIRE,March,2021
Nest Destruction,Species involved: Goshawk nest.,GLOUCESTERSHIRE,June,2021
Illegal Pole/Spring Trapping,Species involved: Barn owl x 1.,KENT,June,2021
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1. Tested positive for: Strychnine.,BEDFORDSHIRE,January,2021
Poisoning,Species targeted: Birds of prey. Species involved: poison bait (rabbit x 1). Tested positive for: Withheld.,ABERDEENSHIRE,March,2021
Poisoning,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos.",NORTH YORKSHIRE,March,2021
Poisoning,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos.",NORTH YORKSHIRE,November,2021
Shooting,Species involved: Goshawk x 1.,HIGHLAND,July,2021
Poisoning,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, alphachloralose, brodifacoum, carbofuran, isofenphos.",NORTH YORKSHIRE,March,2021
Poisoning,Species involved: White tailed eagle x 1. Tested positive for: Bendiocarb.,WEST SUSSEX,October,2021
PersecutionOther,Species targeted: Birds of Prey. Possession of: Withheld.,LINCOLNSHIRE,March,2021
Shooting,Species involved: Buzzard x 1.,ANGUS,May,2021
Illegal Trapping (Other),Species targeted: Birds of Prey.,STAFFORDSHIRE,February,2021
Illegal Pole/Spring Trapping,Species targeted: Birds of Prey.,HIGHLAND,Unknown,2021
Illegal Trapping (Other),Species targeted: Birds of Prey.,PERTH AND KINROSS,April,2021
Poisoning,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran.",COUNTY DURHAM,February,2021
Poisoning,"Species involved: Buzzard x 1; poison bait (Rabbit x 2). Tested positive for: Bendiocarb, carbofuran.",HEREFORDSHIRE,August,2021
PersecutionOther,Species targeted: Birds of Prey.,HEREFORDSHIRE,August,2021
Shooting,Species involved: Red kite x 1.,NORFOLK,April,2021
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,CLEVELAND,February,2021
Poisoning,Species involved: Buzzard x 1. Tested positive for: Strychnine.,NORFOLK,September,2021
Shooting,Species involved: Buzzard x 1.,NORFOLK,August,2021
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1. Tested positive for: Bendiocarb.,WEST SUSSEX,October,2021
Shooting,Species involved: Perergine falcon x 1.,FIFE,July,2021
Poisoning,"Species targeted: Birds of prey. Species involved: Raven x1. Tested positive for: Carbofuran, isofenphos.",EAST LOTHIAN,April,2021
Poisoning,"Species involved: Golden eagle x 1, poison bait (hare x 1). Tested positive for: Withheld.",ABERDEENSHIRE,March,2021
Shooting,Species involved: Short-eared owl x 1.,COUNTY DURHAM,April,2021
Shooting,Species targeted: Falcon species x 1.,KENT,November,2021
Nest Destruction,Species involved: Osprey nest.,CONWY,April,2021
Poisoning,Species targeted: Birds of prey. Species involved: poison bait (Pheasant x 1). Tested positive for: Strychnine.,NORFOLK,August,2021
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,POWYS,May,2021
Illegal Trapping (Other),Species involved: Buzzard x 1.,CONWY,April,2021
Poisoning,Species targeted: Birds of prey. Species involved: poison bait (Pheasant x 1). Tested positive for: Bendiocarb.,WREXHAM,October,2021
Poisoning,Species involved: Red kite x 1. Tested positive for Fenthion.,CEREDIGION,April,2021
Illegal Trapping (Other),Species involved: Buzzard x 3.,SHROPSHIRE,October,2021
PersecutionOther,Species targeted: Birds of Prey. Possession of: Strychnine.,NORFOLK,September,2021
Illegal Trapping (Other),Species involved: Buzzard x 1.,NOTTINGHAMSHIRE,January,2021
Shooting,Species involved: Buzzard x 1.,CAMBRIDGESHIRE,January,2021
Shooting,Species involved: Buzzard x 1.,WREXHAM,September,2021
Shooting,Species involved: Buzzard x 1.,NORFOLK,August,2021
